Id,joy,positive,sadness,negative,anger,anticipation,fear,trust,disgust,surprise,cluster_label
UC-9-kyTW8ZkZNDHQJ6FgpwQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
F-IPRfEDTCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
XiBv-B2yZoY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Df_wETCQ27o,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
OUPOxUMZAbQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
jl8gQ7zAq8g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
UCuHgenThTJSwe6GViFDhDMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4xtctQcble8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
kI4fh2UeNCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
l7YFkpLBTvM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
bl4ECUVs2EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JLGqL_JR_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
I0dICJHzYJY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
l-dXv_u2sDo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
N-qZA0Gddno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
A7uvpYzz-ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
W5xjNOAmrZs,0.012422360248447206,0.055900621118012424,0.024844720496894408,0.9999999999999999,0.0,0.0,0.031055900621118016,0.0,0.006211180124223602,0.006211180124223602,2
sMI9Yzc2XLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
u8UAOlYEAs0,0.0,0.0,0.0,0.25,0.0,1.0,0.25,0.0,0.25,0.0,2
gcn1FshFao8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
WoJp3mDvq7k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
gsw-VVj_ing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
_45HwP8Hit0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
NUUmOJydHyg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
fw4rUN4Fykg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
IIMN8RqBWlQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A-6TwB7nlu4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
D0QCtgSxVfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Y5J02UAlOFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
eA7y-lBLJv0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6W5yqhdSG00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
dhgKOYbxM5k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
mz6tqru-Bzc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1qbLCWOUbpY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
w6-3fY1R_6I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
iARyjd65w2o,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JxcP9oizcQI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
lg647NcK8dI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
m3ikB63AQ9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4vQ4iosHrQY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
q4D0urSKR6o,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
I2kM7npB7lQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
MLnu9E6RjCM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
zytkO0Hz7Ks,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2
Q-w81EA2uZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
igN_QZYlV3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Wsv2kNSO0AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Y05XZ_z95Lc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
AfXPrZ4mygY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6wrFjtKLakw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9T2lV6L93hI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
gJyTNrnpoGc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
48ppN6RCWUk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
P407XYl9NkU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
CDOSuNHbN68,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.8333333333333333,0.0,0.0,0.8333333333333333,2
icfbE7nWnoY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Pk5AyGPr2Gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
PlZhfg4P-dQ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
jNH1vHYUrfg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
ZrxCRySeHNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
qk-9it0OL88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5xPOnrjVjBU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
LA8Uwgq3Mbw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
vL9QFcINAew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
lCX2Hy-Wfy0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
rPueV8GY-2Q,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
yrsQ2zMww28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
Win7yyT9za8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5liqLQ6GjQE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
19fE9Jh-DRs,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.4999999999999999,0.0,0.0,2
EBgS1Ha8rpI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
bIfBCeQ6USY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2
unO42wy1KKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
M_AcPiQzDIQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
7IHCbMNQztE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
qMPR7vqt3pI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
udm4mcJo3qM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
zk53ehuE7Y8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
AF-jRjyskPo,0.25,0.25,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,2
clWNaTsZPiM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
bMXEcbmkr9w,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
fmXdAyDJ-is,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2
jOELfVeHExc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
84GE39MRdtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
y93JviB6Og8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
xz0lvY8l65A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
C6-tYvQzaWU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
iTqACYjHy5E,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
n2ztHOIhfvk,0.059259259259259255,0.0962962962962963,0.014814814814814815,0.07407407407407407,0.044444444444444446,0.037037037037037035,1.0,0.10370370370370371,0.0,0.029629629629629624,2
6LrrbRNy_DY,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
WWM68fGKiL4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
nuKv7X34L5I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
FPw_Pgeixf4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
STZNMDVOv6E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
ObgZ34_cTAg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
